airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,non_codeshare_route_presence_count,all_listed_route_presence_count,route_presence_uplift,non_codeshare_airport_coverage,all_listed_airport_coverage,airport_coverage_uplift,non_codeshare_country_coverage,all_listed_country_coverage,country_coverage_uplift,non_codeshare_top1_origin_share,all_listed_top1_origin_share,top1_origin_share_difference,non_codeshare_origin_airport_hhi,all_listed_origin_airport_hhi,origin_hhi_difference,non_codeshare_effective_hubs,all_listed_effective_hubs,effective_hubs_difference
id:5209,5209,UA,United Airlines,United States,Y,True,True,True,True,905,2178,1273,184,431,247,61,97,36,0.102762430939227,0.0743801652892562,-0.0283822656499703,0.0377314489789689,0.0267307012861734,-0.0110007476927955,26.5030903148562,37.4101670320657,10.9070767172096
id:24,24,AA,American Airlines,United States,Y,True,True,True,True,1265,2352,1087,259,433,174,64,96,32,0.0885375494071146,0.0778061224489796,-0.010731426958135,0.034378290552891,0.0240090934332917,-0.0103691971195993,29.0881246250886,41.6508854354897,12.5627608104011
id:2009,2009,DL,Delta Air Lines,United States,Y,True,True,True,True,1146,1981,835,230,354,124,60,77,17,0.146596858638743,0.106007067137809,-0.0405897915009343,0.0403619540156367,0.0286846699373478,-0.011677284078289,24.7758074252943,34.8618269683483,10.086019543054
id:2822,2822,IB,Iberia Airlines,Spain,Y,True,True,True,True,177,831,654,77,198,121,34,71,37,0.265536723163842,0.123947051744886,-0.141589671418956,0.0836605062402247,0.0390827168056117,-0.044577789434613,11.9530713468142,25.586757567898,13.6336862210838
id:3090,3090,KL,KLM Royal Dutch Airlines,Netherlands,Y,True,True,True,True,210,830,620,108,368,260,64,97,33,0.452380952380952,0.191566265060241,-0.260814687320711,0.207664399092971,0.0665873131078531,-0.141077085985118,4.81546189124263,15.017875828392,10.2024139371494
id:137,137,AF,Air France,France,Y,True,True,True,True,450,1069,619,171,386,215,91,126,35,0.32,0.153414405986904,-0.166585594013096,0.110311111111111,0.0499728289642366,-0.0603382821468745,9.06526994359387,20.0108743236381,10.9456043800442
id:1316,1316,FL,AirTran Airways,United States,Y,True,True,True,True,169,726,557,50,94,44,6,7,1,0.236686390532544,0.0840220385674931,-0.152664351965051,0.0771331536010644,0.0293088662735545,-0.0478242873275099,12.9645937358148,34.1193682030036,21.1547744671888
id:596,596,AZ,Alitalia,Italy,Y,True,True,True,True,327,877,550,121,276,155,60,88,28,0.256880733944954,0.112884834663626,-0.143995899281328,0.0793704233650367,0.0341776216993508,-0.0451928016656859,12.5991516436903,29.2589112489063,16.659759605216
id:5265,5265,US,US Airways,United States,Y,True,True,True,True,1446,1960,514,280,352,72,59,65,6,0.107192254495159,0.0918367346938776,-0.0153555198012815,0.0349129281138028,0.0297943565181174,-0.00511857159568531,28.6426849315068,33.5634031697216,4.9207182382148
id:751,751,CA,Air China,China,Y,True,True,True,True,778,1244,466,165,185,20,38,43,5,0.16452442159383,0.114147909967846,-0.0503765116259847,0.0432028601449898,0.0281880356902844,-0.0150148244547054,23.1466156787763,35.4760441978818,12.3294285191055
