airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,top1_origin_share,top3_origin_share,origin_airport_hhi,effective_hubs,distinct_origin_airports
id:4808,4808,HZ,Sat Airlines,Kazakhstan,Y,False,False,False,False,0.363636363636364,0.636363636363636,0.206611570247934,4.84,7
id:2418,2418,TE,FlyLal,Lithuania,Y,False,False,False,False,0.272727272727273,0.727272727272727,0.206611570247934,4.84,6
id:4259,4259,RJ,Royal Jordanian,Jordan,Y,True,True,True,True,0.446428571428571,0.5,0.205994897959184,4.85448916408668,55
id:508,508,GR,Aurigny Air Services,United Kingdom,Y,True,False,False,False,0.4,0.6,0.205,4.8780487804878,10
id:83,83,JP,Adria Airways,Slovenia,Y,True,False,False,False,0.425,0.575,0.205,4.87804878048781,18
id:3329,3329,LG,Luxair,Luxembourg,Y,True,True,True,True,0.444444444444444,0.490740740740741,0.204389574759945,4.89261744966443,52
id:9810,9810,LJ,Jin Air,South Korea,Y,True,False,False,False,0.423076923076923,0.538461538461538,0.20414201183432,4.89855072463768,15
id:1829,1829,MN,Comair,South Africa,Y,False,False,False,False,0.285714285714286,0.714285714285714,0.204081632653061,4.9,6
id:2585,2585,DC,Golden Air,Sweden,Y,False,False,False,False,0.388888888888889,0.611111111111111,0.203703703703704,4.90909090909091,10
id:11763,11763,P9,Peruvian Airlines,Peru,Y,False,False,False,False,0.375,0.625,0.203125,4.92307692307692,8
id:1290,1290,VW,Aeromar,Mexico,Y,True,False,False,False,0.428571428571429,0.547619047619048,0.202947845804989,4.92737430167598,21
id:4940,4940,TG,Thai Airways International,Thailand,Y,True,True,True,True,0.444444444444444,0.5,0.202789208962049,4.93122886133033,77
id:1548,1548,FB,Bulgaria Air,Bulgaria,Y,True,True,False,True,0.428571428571429,0.553571428571429,0.201530612244898,4.9620253164557,26
id:1531,1531,SN,Brussels Airlines,Belgium,Y,True,True,True,True,0.442028985507246,0.485507246376812,0.200798151648813,4.98012552301255,68
id:3952,3952,PR,Philippine Airlines,Philippines,Y,True,True,True,True,0.441176470588235,0.492647058823529,0.200692041522491,4.98275862068965,64
id:2183,2183,EK,Emirates,United Arab Emirates,Y,True,True,True,True,0.442379182156134,0.472118959107807,0.198739652575282,5.03170850427647,126
id:4091,4091,QR,Qatar Airways,Qatar,Y,True,True,True,True,0.442231075697211,0.462151394422311,0.198266694179457,5.04371147226003,127
id:20270,20270,D2,Severstal Air Company,Russia,Y,False,False,False,False,0.388888888888889,0.611111111111111,0.197530864197531,5.0625,10
id:2538,2538,A9,Georgian Airways,Georgia,Y,False,False,False,False,0.388888888888889,0.611111111111111,0.197530864197531,5.0625,10
id:1946,1946,OK,Czech Airlines,Czech Republic,Y,True,True,True,True,0.435643564356436,0.485148514851485,0.197333594745613,5.0675608544461,49
id:2222,2222,EY,Etihad Airways,United Arab Emirates,Y,True,True,True,True,0.436781609195402,0.482758620689655,0.195468357775135,5.11591753970936,84
id:8463,8463,4H,United Airways,Bangladesh,Y,True,False,False,False,0.40625,0.5625,0.1953125,5.12,15
id:17083,17083,NP,Nile Air,Egypt,Y,False,False,False,False,0.3125,0.6875,0.1953125,5.12,8
id:10955,10955,I6,MexicanaLink,Mexico,Y,True,False,False,False,0.35,0.65,0.195,5.12820512820513,8
id:1682,1682,KX,Cayman Airways,Cayman Islands,Y,True,False,False,False,0.391304347826087,0.565217391304348,0.194706994328922,5.13592233009709,11
id:807,807,EN,Air Dolomiti,Italy,Y,False,False,False,False,0.333333333333333,0.666666666666667,0.194444444444444,5.14285714285714,7
id:19582,19582,JU,Air Serbia,Serbia,Y,True,True,False,True,0.428571428571429,0.493506493506494,0.192781244729297,5.18722659667542,41
id:3393,3393,JE,Mango,South Africa,Y,False,False,False,False,0.277777777777778,0.666666666666667,0.191358024691358,5.2258064516129,8
id:15893,15893,M4,Marysya Airlines,Russia,Y,False,False,False,False,0.368421052631579,0.578947368421053,0.191135734072022,5.23188405797101,9
id:13335,13335,MR,Homer Air,Germany,Y,False,False,False,False,0.368421052631579,0.631578947368421,0.191135734072022,5.23188405797101,10
id:1654,1654,2G,Cargoitalia,Italy,N,False,False,False,False,0.368421052631579,0.631578947368421,0.191135734072022,5.23188405797102,10
id:470,470,2J,Air Burkina,Burkina Faso,Y,True,False,False,False,0.363636363636364,0.590909090909091,0.190082644628099,5.26086956521739,9
id:13899,13899,K6,Cambodia Angkor Air (K6),Cambodia,Y,True,False,False,False,0.318181818181818,0.636363636363636,0.190082644628099,5.26086956521739,8
id:18169,18169,P4,Patriot Airways,United States,Y,True,False,False,False,0.333333333333333,0.619047619047619,0.188208616780045,5.31325301204819,8
id:2990,2990,NU,Japan Transocean Air,Japan,Y,True,False,False,False,0.363636363636364,0.590909090909091,0.18595041322314,5.37777777777778,10
id:1908,1908,SS,Corsairfly,France,Y,False,False,False,False,0.368421052631579,0.578947368421053,0.185595567867036,5.38805970149254,10
id:3287,3287,LM,Linhas A,Mozambique,Y,True,False,False,False,0.3,0.65,0.185,5.4054054054054,7
id:3179,3179,KU,Kuwait Airways,Kuwait,Y,True,True,False,True,0.417721518987342,0.468354430379747,0.184425572824868,5.42224152910513,39
id:503,503,5N,Aeroflot-Nord,Russia,Y,False,False,False,False,0.214285714285714,0.642857142857143,0.183673469387755,5.44444444444444,6
id:16882,16882,YQ,Polet Airlines (Priv),Russia,Y,False,False,False,False,0.285714285714286,0.642857142857143,0.183673469387755,5.44444444444444,7
id:341,341,4N,Air North Charter - Canada,Canada,Y,False,False,False,False,0.307692307692308,0.615384615384615,0.183431952662722,5.45161290322581,7
id:2688,2688,HA,Hawaiian Airlines,United States,Y,True,True,False,True,0.4,0.542857142857143,0.182448979591837,5.48098434004474,30
id:9531,9531,7J,Tajik Air,Tajikistan,Y,True,False,False,False,0.382352941176471,0.558823529411765,0.181660899653979,5.5047619047619,15
id:1500,1500,7P,Metro Batavia,Indonesia,Y,False,False,False,False,0.333333333333333,0.583333333333333,0.180555555555556,5.53846153846154,8
id:2293,2293,EO,Express One International,United States,Y,False,False,False,False,0.333333333333333,0.583333333333333,0.180555555555556,5.53846153846154,8
id:17891,17891,TZ,Scoot,Singapore,Y,True,False,False,False,0.375,0.583333333333333,0.180555555555556,5.53846153846154,13
id:1191,1191,UU,Air Austral,France,Y,True,False,False,False,0.375,0.541666666666667,0.180555555555556,5.53846153846154,12
id:5282,5282,PS,Ukraine International Airlines,Ukraine,Y,True,True,True,True,0.411764705882353,0.487394957983193,0.180142645293411,5.55115640925128,50
id:1173,1173,4Y,Airbus France,France,N,False,False,False,False,0.368421052631579,0.578947368421053,0.18005540166205,5.55384615384615,11
id:2748,2748,HW,Hello,Switzerland,Y,False,False,False,False,0.2,0.6,0.18,5.55555555555555,6
id:231,231,IZ,Arkia Israel Airlines,Israel,Y,True,False,False,False,0.35,0.6,0.18,5.55555555555556,10
id:1943,1943,YK,Cyprus Turkish Airlines,Turkey,Y,True,False,False,False,0.294117647058824,0.617647058823529,0.179930795847751,5.55769230769231,11
id:995,995,KK,Atlasjet,Turkey,Y,True,False,False,False,0.375,0.5625,0.1796875,5.56521739130435,14
id:5156,5156,PZ,TAM Mercosur,Paraguay,Y,False,False,False,False,0.277777777777778,0.666666666666667,0.179012345679012,5.58620689655172,8
id:1889,1889,CM,Copa Airlines,Panama,Y,True,True,True,True,0.409395973154362,0.51006711409396,0.177784784469168,5.62477831264251,64
id:1581,1581,5C,CAL Cargo Air Lines,Israel,Y,True,False,False,False,0.379310344827586,0.551724137931034,0.177170035671819,5.64429530201342,15
id:1680,1680,CX,Cathay Pacific,Hong Kong SAR of China,Y,True,True,True,True,0.413793103448276,0.472906403940887,0.176539105535199,5.66446735395189,94
id:4021,4021,PD,Porter Airlines,Canada,Y,True,False,False,False,0.382352941176471,0.558823529411765,0.176470588235294,5.66666666666667,17
id:10741,10741,KN,China United,China,Y,True,True,False,True,0.408163265306122,0.479591836734694,0.176176593086214,5.67612293144208,48
id:4349,4349,UL,SriLankan Airlines,Sri Lanka,Y,True,True,False,True,0.405063291139241,0.493670886075949,0.176093574747637,5.67879890809827,38
id:2825,2825,TY,Iberworld,Spain,Y,True,False,False,False,0.347826086956522,0.565217391304348,0.175803402646503,5.68817204301075,10
id:4305,4305,SA,South African Airways,South Africa,Y,True,True,False,True,0.406593406593407,0.483516483516484,0.175703417461659,5.6914089347079,45
id:3437,3437,MW,Maya Island Air,Belize,Y,False,False,False,False,0.315789473684211,0.578947368421053,0.174515235457064,5.73015873015873,8
id:683,683,BP,Air Botswana,Botswana,Y,True,False,False,False,0.291666666666667,0.625,0.173611111111111,5.76,8
id:1844,1844,KR,Comores Airlines,Comoros,Y,True,False,False,False,0.318181818181818,0.590909090909091,0.173553719008264,5.76190476190476,9
id:225,225,TN,Air Tahiti Nui,France,Y,False,False,False,False,0.272727272727273,0.636363636363636,0.173553719008264,5.76190476190476,7
id:8576,8576,5H,Fly540,Kenya,Y,False,False,False,False,0.333333333333333,0.555555555555556,0.172839506172839,5.78571428571429,9
id:3539,3539,YM,Montenegro Airlines,Montenegro,Y,True,False,False,False,0.346153846153846,0.576923076923077,0.171597633136095,5.82758620689655,12
id:622,622,R7,Aserca Airlines,Venezuela,Y,True,False,False,False,0.346153846153846,0.576923076923077,0.171597633136095,5.82758620689655,11
id:5651,5651,VJ,Royal Air Cambodge,Cambodia,Y,True,False,False,False,0.323529411764706,0.588235294117647,0.171280276816609,5.83838383838384,12
id:16149,16149,WM,Windward Islands Airways,Netherlands Antilles,Y,True,False,False,False,0.36,0.52,0.1712,5.8411214953271,12
