airline_key,airline_id,airline_code,airline_name,airline_country,airline_active,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible,mean_route_distance_km,median_route_distance_km,p90_route_distance_km,valid_distance_route_presences,invalid_or_missing_distance_route_presences,domestic_route_presence_share,international_route_presence_share,distinct_country_count,origin_country_count,destination_country_count
id:2822,2822,IB,Iberia Airlines,Spain,Y,True,True,True,True,2858.22702017038,1315.61438134219,8377.59704148994,177,0,0.186440677966102,0.813559322033898,34,34,34
id:4869,4869,TP,TAP Portugal,Portugal,Y,True,True,True,True,3232.86937951537,2305.4260944945,7366.32685197131,156,0,0.115384615384615,0.884615384615385,34,34,33
id:3210,3210,LO,LOT Polish Airlines,Poland,Y,True,True,False,True,1515.12594468262,965.030476029399,2389.71214965175,96,0,0.125,0.875,33,33,33
id:1758,1758,MU,China Eastern Airlines,China,Y,True,True,True,True,1351.03279441212,1057.83142100003,1924.63782384874,1024,18,0.74609375,0.25390625,33,33,33
id:5461,5461,W6,Wizz Air,Hungary,Y,True,True,True,True,1393.22397318195,1288.77668674624,2048.28885222925,453,0,0,1,33,33,33
id:2350,2350,AY,Finnair,Finland,Y,True,True,True,True,4677.27479375145,5567.07603622262,7954.07931749203,174,0,0.0747126436781609,0.925287356321839,32,31,32
id:3926,3926,PC,Pegasus Airlines,Turkey,Y,True,True,True,True,1357.07950778828,1065.71741439819,2518.43667328982,242,0,0.380165289256198,0.619834710743802,32,32,32
id:333,333,BT,Air Baltic,Latvia,Y,True,True,True,True,1513.30197285236,1168.08334218962,2617.61793988225,108,0,0,1,31,31,31
id:28,28,OZ,Asiana Airlines,Republic of Korea,Y,True,True,True,True,2384.01177895891,1256.85101658,7352.76446439981,227,0,0.118942731277533,0.881057268722467,31,31,31
id:4305,4305,SA,South African Airways,South Africa,Y,True,True,False,True,3522.09882469738,2490.26046552616,8444.3517733566,91,0,0.197802197802198,0.802197802197802,31,31,30
id:4319,4319,SK,Scandinavian Airlines System,Sweden,Y,True,True,True,True,1613.8636262952,1124.02252188307,2711.29661406483,405,0,0.195061728395062,0.804938271604938,31,31,31
id:1478,1478,B2,Belavia Belarusian Airlines,Belarus,Y,True,True,False,True,1554.42024513904,1605.28847682282,2515.6203499488,80,0,0,1,29,29,29
id:1868,1868,DE,Condor Flugdienst,Germany,Y,True,True,True,True,3172.34942463324,2481.17948822146,7561.58410164109,311,0,0.00643086816720257,0.993569131832797,29,29,29
id:4296,4296,FR,Ryanair,Ireland,Y,True,True,True,True,1489.70615395092,1434.5855249347,2600.11670538248,2484,0,0.108695652173913,0.891304347826087,29,29,29
id:1889,1889,CM,Copa Airlines,Panama,Y,True,True,True,True,2057.31553982687,1476.73638942821,4845.36470380294,149,0,0.100671140939597,0.899328859060403,28,28,28
id:19582,19582,JU,Air Serbia,Serbia,Y,True,True,False,True,965.846229232964,845.136021008149,1711.0589145556,77,0,0.0779220779220779,0.922077922077922,28,28,28
id:3179,3179,KU,Kuwait Airways,Kuwait,Y,True,True,False,True,2469.99279859126,2129.67745976288,4847.72951105152,79,0,0,1,28,28,27
id:5282,5282,PS,Ukraine International Airlines,Ukraine,Y,True,True,True,True,1779.40666172581,1566.24733355678,3387.05523969897,119,0,0.100840336134454,0.899159663865546,28,28,28
id:2439,2439,VY,Formosa Airlines,Taiwan,Y,True,True,True,True,1235.37196113327,1100.34981309188,2123.20604261473,384,0,0.276041666666667,0.723958333333333,28,28,28
id:4870,4870,TU,Tunisair,Tunisia,Y,True,True,True,True,1665.03444617754,1502.91162085647,3115.02459382215,149,0,0,1,27,27,27
id:3778,3778,WY,Oman Air,Oman,Y,True,True,False,True,2430.24743257771,2312.86460600527,5103.1673262055,92,0,0.0543478260869565,0.945652173913043,27,27,27
id:2548,2548,4U,Germanwings,Germany,Y,True,True,True,True,1127.95833990815,1015.85566399998,1901.94851010606,470,0,0.114893617021277,0.885106382978723,26,26,26
id:96,96,A3,Aegean Airlines,Greece,Y,True,True,True,True,1178.03718097441,1126.80176797739,2394.31999783795,213,0,0.394366197183099,0.605633802816901,26,25,26
